Steps,Policy/Entropy,Win Count,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
2400,1.5145217,0.0,4.604966139954853,7.0849066,-0.9834123222748815,-0.9834123222748815,171.40562,-3.7584853,80.82488,89.95764,0.22312132,0.00029999999,1.0
4800,0.2717464,0.0,3.0,18.093622,40.23,40.23,8.520078,-16.755478,4.2295284,4.2081385,0.30840147,0.0003,1.0
7200,0.44187748,0.0,3.0,18.132942,40.358333333333334,40.358333333333334,14.551497,-18.136847,7.2334456,7.2326636,0.5013727,0.0003,1.0
9600,0.75762725,0.0,3.0,17.648685,39.85666666666667,39.85666666666667,0.097920254,-17.696272,0.04413265,0.04355559,0.78836966,0.0003,1.0
12000,0.77118784,0.0,3.0,17.625765,39.125,39.125,0.0904891,-17.709455,0.041097805,0.040804584,1.1757377,0.0003,1.0
14400,0.7762966,0.0,3.0,17.721754,38.9,38.9,0.05045136,-17.75696,0.022834139,0.022826027,1.6001713,0.0003,1.0
16800,0.78544545,0.0,3.0,18.04363,38.788333333333334,38.788333333333334,0.04949202,-18.051777,0.022405164,0.02237767,2.1534078,0.0003,1.0
19200,0.7896547,0.0,3.0,18.42976,38.723333333333336,38.723333333333336,0.05121993,-18.483364,0.023232834,0.023203108,2.8465548,0.0003,1.0
21600,0.7909797,0.0,3.0,18.92481,38.791666666666664,38.791666666666664,0.0501016,-18.932451,0.022798924,0.022815758,3.644472,0.0003,1.0
24000,0.79051065,0.0,3.0,19.54578,38.751666666666665,38.751666666666665,0.0486335,-19.561087,0.02212228,0.022126446,4.6447396,0.0003,1.0
26400,0.7947278,0.0,3.0,20.187506,38.72666666666667,38.72666666666667,0.022661993,-20.194143,0.009868153,0.00984105,5.687518,0.0003,1.0
28800,0.5489698,0.0,3.0,20.45279,37.665,37.665,0.20571372,-20.570368,0.090470046,0.093020834,6.6477427,0.0003,1.0
31200,0.46207854,0.0,3.0,21.219566,37.413333333333334,37.413333333333334,0.07006911,-21.26221,0.03146914,0.02883491,8.041817,0.0003,1.0
33600,0.4573138,0.0,3.0,22.878935,38.71666666666667,38.71666666666667,0.08919462,-22.90774,0.039516475,0.038894735,10.100357,0.0003,1.0
36000,0.6042206,0.0,3.0,24.431143,38.68,38.68,0.031803332,-24.395702,0.014662475,0.014696229,12.58744,0.0003,1.0
38400,0.7393813,0.0,3.0,26.063574,38.71,38.71,0.0014212378,-26.051792,0.0004311623,0.0003661312,15.199917,0.0003,1.0
40800,0.7091034,0.0,3.0,27.233175,38.345,38.345,0.04544807,-27.25803,0.018357884,0.017537404,17.046587,0.0003,1.0
43200,0.7247797,0.0,3.0,28.221003,38.165,38.165,0.047635555,-28.23888,0.021547422,0.020304771,18.583557,0.0003,1.0
45600,0.78847843,0.0,3.0,29.11821,37.855,37.855,0.020775743,-29.072018,0.0089194365,0.009001513,19.952576,0.0003,1.0
48000,0.7963502,0.0,3.0,29.310446,38.32666666666667,38.32666666666667,0.038201064,-29.194876,0.017103797,0.016624322,20.256784,0.00029999999,1.0
