Steps,Policy/Entropy,Environment/Episode Length,Hit Ratio,Win Count,Win Ratio on Previous 5,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2400,5.544871,472.8333333333333,0.004925276152789593,0.0,0.0,0.062446393,-81.83427352905274,-81.83427352905274,19.90313,0.07296652,0.00029859063,1.0
4800,5.5364056,259.375,0.004254656744056514,0.0,0.0,-0.5005982,-105.47728300094604,-105.47728300094604,40.423306,0.06786844,0.00029718244,1.0
7200,5.537092,115.15,0.004985623754021761,0.0,0.0,-1.3353298,-122.25040273666382,-122.25040273666382,118.49684,0.07189521,0.00029586244,1.0
9600,5.5351324,162.8,0.0035187323150845866,0.0,0.0,-2.2330897,-146.9815668741862,-146.9815668741862,116.40662,0.08215698,0.0002945544,1.0
12000,5.5277333,101.73913043478261,0.005813705517952753,0.0,0.0,-3.4397352,-117.88968774546747,-117.88968774546747,111.29105,0.069604136,0.00029331606,1.0
14400,5.5098715,77.9,0.006892868185191062,0.0,0.0,-4.640008,-80.86632181803385,-80.86632181803385,102.319214,0.086701095,0.00029206925,1.0
16800,5.4900565,59.833333333333336,0.008381127326616219,0.0,0.0,-5.8587155,-62.96975816262735,-62.96975816262735,87.18695,0.061869662,0.00029081877,1.0
19200,5.4637504,44.509433962264154,0.010888054154301975,0.0,0.0,-7.0179644,-44.13441652621863,-44.13441652621863,65.198875,0.07383885,0.00028954502,1.0
21600,5.4047303,35.53030303030303,0.014979772432337678,0.0,0.0,-7.7037354,-33.48061482834093,-33.48061482834093,46.69538,0.08103801,0.0002876991,1.0
24000,5.3077207,23.8125,0.019950426336968453,0.0,0.0,-8.172006,-21.84699788565437,-21.84699788565437,25.680887,0.07789025,0.0002858448,1.0
26400,5.1801867,17.75968992248062,0.02722278322492327,0.0,0.0,-8.4510565,-15.13238860021426,-15.13238860021426,18.938421,0.08471153,0.00028460822,1.0
28800,4.986247,12.348314606741573,0.037756889820272144,0.0,0.0,-8.558999,-9.261451400858064,-9.261451400858064,16.055803,0.08709302,0.00028337518,1.0
31200,4.6755295,8.590361445783133,0.04997247696905597,0.0,0.0,-8.491023,-5.3525739736557005,-5.3525739736557005,17.065783,0.0817317,0.0002821416,1.0
33600,4.206002,6.389570552147239,0.05931721347842725,0.0,0.0,-8.081099,-2.886984515409528,-2.886984515409528,19.824717,0.089544326,0.00028090444,1.0
36000,3.7423859,4.7601918465227815,0.0745704301778193,0.06422018348623854,0.0,-7.1951456,0.05072679628546421,0.05072679628546421,318.35666,0.08162599,0.00027906033,1.0
38400,3.451876,4.358744394618834,0.0785567294284005,0.08411214953271028,0.0,-5.9796505,-0.7204489470594948,-0.7204489470594948,16.57948,0.075284846,0.0002772096,1.0
40800,3.0556884,3.7504950495049503,0.08740653347008484,0.08264462809917356,0.0,-5.145026,-0.04091698297179572,-0.04091698297179572,13.893884,0.058444697,0.00027597242,1.0
43200,2.8504348,3.6332046332046333,0.08922353432478994,0.12448132780082988,0.0,-4.346806,1.075888018810611,1.075888018810611,403.79956,0.07289896,0.00027474124,1.0
45600,2.7046201,3.455719557195572,0.09141485488095892,0.102880658436214,0.0,-3.6835897,0.29615616510883114,0.29615616510883114,7.7143903,0.055972982,0.00027351177,1.0
48000,2.59531,3.3588342440801457,0.09431611034781374,0.08936170212765958,0.0,-3.0875716,0.4054093330611767,0.4054093330611767,5.0488744,0.07067422,0.00027227763,1.0
50400,2.5414972,3.423572744014733,0.09342650188052136,0.10869565217391304,0.008695652173913044,-2.6313672,2.1858013591203305,2.1858013591203305,198.09099,0.07432243,0.000270429,1.0
52800,2.4001384,3.3533697632058286,0.09445607117735423,0.3319838056680162,0.004048582995951417,-2.0910769,1.3255560698829416,1.3255560698829416,991.2797,0.07410148,0.00026858342,1.0
55200,2.300981,3.321880650994575,0.09458937300111465,0.8260869565217391,0.007905138339920948,-1.5356977,4.077894209526681,4.077894209526681,1393.9049,0.07518425,0.0002673474,1.0
57600,2.1683416,3.3399638336347195,0.0947487331401263,1.3360995850622406,0.024896265560165973,-1.0816387,15.935855398988638,15.935855398988638,2342.1248,0.081552885,0.00026611562,1.0
60000,2.0044296,3.323741007194245,0.09444862257754594,3.6973684210526314,0.07894736842105263,-0.60476524,30.438664381568497,30.438664381568497,8693.731,0.08292182,0.00026488022,1.0
62400,1.8499857,3.434380776340111,0.09274740442020413,9.436213991769547,0.12345679012345678,-0.13407141,59.896329829833604,59.896329829833604,13886.944,0.08052846,0.00026364904,1.0
64800,1.7220627,3.49718574108818,0.09075060622545622,20.66949152542373,0.25,0.9356268,120.46954445454237,120.46954445454237,36323.695,0.085416704,0.00026180164,1.0
67200,1.5903462,3.601145038167939,0.0900624477762287,40.28813559322034,0.3940677966101695,2.823303,206.0104349538741,206.0104349538741,66627.125,0.092941225,0.00025995483,1.0
69600,1.2912778,3.587332053742802,0.08997096045253178,69.7625,0.5791666666666667,5.470311,308.8569851372939,308.8569851372939,100110.23,0.07439056,0.00025871818,1.0
72000,0.8513452,3.417279411764706,0.09430044850318872,110.27731092436974,0.7941176470588235,9.472737,399.8682457803582,399.8682457803582,129930.945,0.0752319,0.00025748822,1.0
74400,0.46086872,3.1689895470383274,0.09729853606281372,163.81923076923076,0.9153846153846154,14.458364,451.69546684829726,451.69546684829726,155815.55,0.07280094,0.0002562564,1.0
76800,0.30165386,3.12736660929432,0.0980795622791773,224.65020576131687,0.9465020576131687,20.427782,480.85357821459615,480.85357821459615,164396.77,0.07152296,0.000255018,1.0
